Austria,#00008c,#000081
Saint Kitts and Nevis,#00007f,#00007f
MS Zaandam,#00007f,#00007f
Afghanistan,#00007f,#00007f
Gabon,#00007f,#00007f
South Africa,#000081,#00007f
Ghana,#00007f,#00007f
USA,#0031ff,#0000be
Brunei,#00007f,#00007f
Haiti,#00007f,#00007f
Singapore,#000080,#00007f
Benin,#00007f,#00007f
Syria,#00007f,#00007f
Niger,#00007f,#00007f
Belize,#00007f,#00007f
Egypt,#000080,#000080
Eritrea,#00007f,#00007f
Bosnia and Herzegovina,#00007f,#00007f
India,#000081,#000080
Georgia,#00007f,#00007f
Lithuania,#000080,#00007f
Sudan,#00007f,#00007f
Trinidad and Tobago,#00007f,#00007f
San Marino,#00007f,#000080
Kuwait,#00007f,#00007f
Cayman Islands,#00007f,#00007f
Honduras,#00007f,#00007f
Guyana,#00007f,#00007f
Norway,#000085,#000080
Estonia,#000080,#00007f
Belarus,#00007f,#00007f
Cuba,#00007f,#00007f
Mayotte,#00007f,#00007f
Iran,#0000b6,#0000d7
Greece,#000081,#000080
Romania,#000081,#000080
Channel Islands,#00007f,#00007f
Bulgaria,#000080,#00007f
Guinea-Bissau,#00007f,#00007f
World,#7f0000,#7f0000
Israel,#000085,#00007f
Antigua and Barbuda,#00007f,#00007f
Angola,#00007f,#00007f
Djibouti,#00007f,#00007f
Seychelles,#00007f,#00007f
Slovakia,#00007f,#00007f
Algeria,#000080,#000080
Costa Rica,#00007f,#00007f
Slovenia,#000080,#00007f
Morocco,#000080,#000080
Philippines,#000081,#000082
Nepal,#00007f,#00007f
Ireland,#000083,#000080
Suriname,#00007f,#00007f
Paraguay,#00007f,#00007f
Togo,#00007f,#00007f
Dominica,#00007f,#00007f
Cabo Verde,#00007f,#00007f
Mali,#00007f,#00007f
Mauritius,#00007f,#00007f
Iraq,#000080,#000080
Serbia,#000080,#00007f
Moldova,#00007f,#00007f
Belgium,#00008b,#00008a
Equatorial Guinea,#00007f,#00007f
Gambia,#00007f,#00007f
Chad,#00007f,#00007f
Cambodia,#00007f,#00007f
Japan,#000082,#000081
Saudi Arabia,#000081,#00007f
Uzbekistan,#00007f,#00007f
Denmark,#000082,#000081
Chile,#000082,#00007f
Panama,#000080,#000080
Sint Maarten,#00007f,#00007f
UK,#000098,#00009b
Finland,#000081,#00007f
Zimbabwe,#00007f,#00007f
Jordan,#00007f,#00007f
Kenya,#00007f,#00007f
Argentina,#000080,#000080
Ethiopia,#00007f,#00007f
Faeroe Islands,#00007f,#00007f
El Salvador,#00007f,#00007f
North Macedonia,#00007f,#00007f
Qatar,#000080,#00007f
Namibia,#00007f,#00007f
Nigeria,#00007f,#00007f
Pakistan,#000081,#00007f
Turkey,#000089,#000082
New Caledonia,#00007f,#00007f
Madagascar,#00007f,#00007f
Canada,#000087,#000081
Aruba,#00007f,#00007f
Kazakhstan,#00007f,#00007f
Papua New Guinea,#00007f,#00007f
Vietnam,#00007f,#00007f
Mexico,#000080,#00007f
Armenia,#000080,#00007f
France,#0000b7,#0000c9
Italy,#0013ff,#00d3ff
Laos,#00007f,#00007f
Bermuda,#00007f,#00007f
Gibraltar,#00007f,#00007f
DRC,#00007f,#00007f
Bahrain,#000080,#00007f
Malta,#00007f,#00007f
Palestine,#00007f,#00007f
Montserrat,#00007f,#00007f
Australia,#000085,#000080
Greenland,#00007f,#00007f
UAE,#000080,#00007f
Dominican Republic,#000080,#000080
Spain,#0000ee,#003fff
Azerbaijan,#00007f,#00007f
S. Korea,#00008f,#000084
Colombia,#000080,#00007f
Mauritania,#00007f,#00007f
Uruguay,#00007f,#00007f
St. Barth,#00007f,#00007f
Cyprus,#00007f,#00007f
Nicaragua,#00007f,#00007f
Macao,#00007f,#00007f
Mozambique,#00007f,#00007f
Curaçao,#00007f,#00007f
Ivory Coast,#00007f,#00007f
Timor-Leste,#00007f,#00007f
Kyrgyzstan,#00007f,#00007f
Mongolia,#00007f,#00007f
Saint Martin,#00007f,#00007f
Hong Kong,#000080,#00007f
Uganda,#00007f,#00007f
Ecuador,#000082,#000081
Bangladesh,#00007f,#00007f
Montenegro,#00007f,#00007f
Netherlands,#00008e,#000093
Martinique,#00007f,#00007f
Jamaica,#00007f,#00007f
Senegal,#00007f,#00007f
Thailand,#000081,#00007f
Oman,#00007f,#00007f
Taiwan,#00007f,#00007f
Fiji,#00007f,#00007f
Latvia,#000080,#00007f
Bhutan,#00007f,#00007f
Germany,#0000d9,#00008e
Congo,#00007f,#00007f
Indonesia,#000081,#000083
Sweden,#000084,#000083
Monaco,#00007f,#00007f
Vatican City,#00007f,#00007f
Peru,#000080,#00007f
French Polynesia,#00007f,#00007f
