Using random testing to manage a safe exit from the COVID-19 lockdown,"Markus Müller, Peter M. Derlet, Christopher Mudry, Gabriel Aeppli",https://arxiv.org/abs/2004.04614,https://arxiv.org/pdf/2004.04614,"Submitted 9 April, 2020; originally announced April 2020.","16 pages, 6 figures, 2 appendices"
Between Geography and Demography: key Interdependencies and Exit Mechanisms for Covid-19,"Antonio Scala, Andrea Flori, Alessandro Spelta, Emanuele Brugnoli, Matteo Cinelli, Walter Quattrociocchi, Fabio Pammolli",https://arxiv.org/abs/2004.04608,https://arxiv.org/pdf/2004.04608,"Submitted 9 April, 2020; originally announced April 2020.",
Efficiency of Covid-19 Containment by Measuring Time Dependent Doubling Time,"Antonio Bianconi, Augusto Marcelli, Gaetano Campi, Andrea Perali",https://arxiv.org/abs/2004.04604,https://arxiv.org/pdf/2004.04604,"Submitted 9 April, 2020; originally announced April 2020.","8 pages, 2 figures"
Modeling Epidemic Spreading through Public Transit using Time-Varying Encounter Network,"Baichuan Mo, Kairui Feng, Yu Shen, Clarence Tam, Daqing Li, Yafeng Yin, Jinhua Zhao",https://arxiv.org/abs/2004.04602,https://arxiv.org/pdf/2004.04602,"Submitted 9 April, 2020; originally announced April 2020.",
Information Seeking Responses to News of Local COVID-19 Cases: Evidence from Internet Search Data,"Ana I. Bento, Thuy Nguyen, Coady Wing, Felipe Lozano-Rojas, Yong-Yeol Ahn, Kosali Simon",https://arxiv.org/abs/2004.04591,https://arxiv.org/pdf/2004.04591,"Submitted 6 April, 2020; originally announced April 2020.","7 pages, 2 figures"
Comparison of different exit scenarios from the lock-down for COVID-19 epidemic in the UK and assessing uncertainty of the predictions,"Anatoly Zhigljavsky, Roger Whitaker, Ivan Fesenko, Kobi Kremnizer, Jack Noonan",https://arxiv.org/abs/2004.04583,https://arxiv.org/pdf/2004.04583,"Submitted 9 April, 2020; originally announced April 2020.",
DeepCOVIDExplainer: Explainable COVID-19 Predictions Based on Chest X-ray Images,"Md. Rezaul Karim, Till Döhmen, Dietrich Rebholz-Schuhmann, Stefan Decker, Michael Cochez, Oya Beyan",https://arxiv.org/abs/2004.04582,https://arxiv.org/pdf/2004.04582,"Submitted 9 April, 2020; originally announced April 2020.",
COVID-19: A Survey on Public Medical Imaging Data Resources,"Roman Kalkreuth, Paul Kaufmann",https://arxiv.org/abs/2004.04569,https://arxiv.org/pdf/2004.04569,"Submitted 7 April, 2020; originally announced April 2020.",
CovidSens: A Vision on Reliable Social Sensing based Risk Alerting Systems for COVID-19 Spread,"Md Tahmid Rashid, Dong Wang",https://arxiv.org/abs/2004.04565,https://arxiv.org/pdf/2004.04565,"Submitted 9 April, 2020; originally announced April 2020.",
Mapping county-level mobility pattern changes in the United States in response to COVID-19,"Song Gao, Jinmeng Rao, Yuhao Kang, Yunlei Liang, Jake Kruse",https://arxiv.org/abs/2004.04544,https://arxiv.org/pdf/2004.04544,"Submitted 9 April, 2020; originally announced April 2020.","6 pages, 5 figures"
