Mapping the Burden of COVID-19 in the United States,"Miller, I. F., Becker, A. D., Grenfell, B. T., Metcalf, C. J. E.",
Prediction on Covid-19 epidemic for different countries: Focusing on South Asia under various precautionary measures,"Paul, A., Chatterjee, S., Bairagi, N.",
Modeling the COVID-19 pandemic - parameter identification and reliability of predictions,"Hackl, K.",
"Estimation of the percentages of asymptomatic patients and undiagnosed patients of the novel coronavirus (SARS-CoV-2) infection in Hokkaido, Japan by using birth-death process with recursive full tracing","Tanaka, T., Yamaguchi, T., Sakamoto, Y.",
Making sense of the Global Coronavirus Data: The role of testing rates in understanding the pandemic and our exit strategy,"Potluri, R., Lavu, D.",
COVID-19 epidemic in Malaysia: Impact of lock-down on infection dynamics,"Salim, N., Chan, W. H., Mansor, S., Bazin, N. E. N., Amaran, S., Mohd Faudzi, A. A., Zainal, A., Huspi, S. H., Khoo, E. J. H., Shithil, S. M.",
On the corona infection model with contact restriction,"Mimkes, J., Janssen, R.",
"Factors associated with hospitalization and critical illness among 4,103 patients with COVID-19 disease in New York City","Petrilli, C. M., Jones, S. A., Yang, J., Rajagopalan, H., O'Donnell, L. F., Chernyak, Y., Tobin, K., Cerfolio, R. J., Francois, F., Horwitz, L. I.",
Treatment with ACE-inhibitors is associated with less severe disease with SARS-Covid-19 infection in a multi-site UK acute Hospital Trust,"Bean, D., Kraljevic, Z., Searle, T., Bendayan, R., Pickles, A., Folarin, A., Roguski, L., Noor, K., Shek, A., o'gallagher, K., Zakeri, R., Shah, A., Teo, J., Dobson, R. J.",
Introductions and early spread of SARS-CoV-2 in the New York City area,"Gonzalez-Reiche, A. S., Hernandez, M. M., Sullivan, M., Ciferri, B., Alshammary, H., Obla, A., Fabre, S., Kleiner, G., Polanco, J., Khan, Z., Alburquerque, B., van de Guchte, A., Dutta, J., Francoeur, N., Melo, B. S., Oussenko, I., Deikus, G., Soto, J., Sridhar, S. H., Wang, Y.-C., Twyman, K., Kasarskis, A., Altman, D. R., Smith, M., Sebra, R., Aberg, J., Krammer, F., Garcia-Sarstre, A., Luksza, M., Patel, G., Paniz-Mondolfi, A., Gitman, M., Sordillo, E. M., Simon, V., van Bakel, H.",
"Applying the unified models of ecology to forecast epidemics, with application to Covid-19","Loberg, S. W., Lehman, C.",
"Testing the association between blood type and COVID-19 infection, intubation, and death","Zietz, M., Tatonetti, N. P.",
Self-collection: an appropriate alternative during the SARS-CoV-2 pandemic,"Wehrhahn, M. C., Robson, J., Brown, S., Bursle, E., Byrne, S., New, D., Chong, S., Newcombe, J. P., Sivertsen, T., Hadlow, N.",
BCG protects against COVID-19? A word of caution,"Szigeti, R., Kellermayer, D., Kellermayer, R.",
Potential dissemination of epidemics based on Brazilian mobile geolocation data. Part I: Population dynamics and future spreading of infection in the states of Sao Paulo and Rio de Janeiro during the pandemic of COVID-19.,"Peixoto, P. S., Marcondes, D. R., Peixoto, C. M., Queiroz, L., Gouveia, R., Delgado, A., Oliva, S. M.",
New Epidemiological Model Suggestions Revealing Size of Epidemics Based on the COVID-19 Pandemic Example: Wavelength Models,"Bulut, T.",
Infoveillance based on Social Sensors to Analyze the impact of Covid19 in South American Population,"Chire Saire, J. E.",
A secure and rapid query-software for COVID-19 test results that can easily be integrated into the clinical workflow to avoid communication overload,"Voelkel, G., Fuerstberger, A., Schwab, J. D., Kuehlwein, S. D., Gscheidmeier, T., Kraus, J. M., Gross, A., Kohlmayer, F., Kuhn, P., Kuhn, K. A., Kohlbacher, O., Seufferlein, T., Kestler, H. A.",
Noisy Pooled PCR for Virus Testing,"Zhu, J., Rivera, K., Baron, D.",
Risk factors for mortality of adult inpatients with Coronavirus disease 2019 (COVID-19): a systematic review and meta-analysis of retrospective studies,"Parohan, M., Yaghoubi, S., Seraj, A., Javanbakht, M. H., Sarraf, P., Djalali, M.",
Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection During Pregnancy In China: A Retrospective Cohort Study,"Yin, M., Zhang, L., Deng, G., Han, C., Shen, M., Sun, H., Zeng, F., Zhang, W., Chen, L., Luo, Q., Yao, D., Wu, M., Yu, S., Chen, H., Baud, D., Chen, X.",
Chest CT Scan of Hospitalized Patients with COVID-19: A Case-Control Study,"Dong, J., Wu, L., Jin, Q., Chen, J., He, J.",
"Assessing the risks of ""infodemics"" in response to COVID-19 epidemics","Gallotti, R., Valle, F., Castaldo, N., Sacco, P., De Domenico, M.",
HOW THE COVID-19 PANDEMIA IS SPREADING IN ITALY,"Salvatoni, A.",
"Is the spread of COVID-19 across countries influenced by environmental, economic and social factors?","Hossain, M. A.",
"Know Your Epidemic, Know Your Response: Covid-19 in the United States","Ciancio, A., Kämpfen, F., Kohler, I. V., Bennett, D., Bruine de Bruin, W., Darling, J., Kapteyn, A., Maurer, J., Kohler, H.-P.",
Non-specific Primers Reveal False-negative Risk in Detection of COVID-19 Infections,"Liu, W.",
Modeling the impact of human mobility and travel restrictions on the potential spread of SARS-CoV-2 in Taiwan,"Chang, M.-C., Kahn, R., Li, Y.-A., Lee, C.-S., Buckee, C. O., Chang, H.-H.",
Assessing the Hospital Surge Capacity of the Kenyan Health System in the Face of the COVID-19 Pandemic,"Barasa, E., Ouma, P. O., Okiro, E. A.",
Comparative ACE2 variation and primate COVID-19 risk,"Melin, A. D., Janiak, M. C., Marrone, F., Arora, P. S., Higham, J. P.",
Analysis of the mutation dynamics of SARS-CoV-2 reveals the spread history and emergence of RBD mutant with lower ACE2 binding affinity,"JIA, Y., Shen, G., Zhang, Y., Huang, K.-S., Ho, H.-Y., Hor, W.-S., Yang, C.-H., Li, C., Wang, W.-L.",
"Blood glucose is a representative of the clustered indicators of multi-organ injury for predicting mortality of COVID-19 in Wuhan, China","Yang, J.-K., Jin, J.-M., Liu, S., Bai, P., He, W., Wu, F., Liu, X.-F., Han, D.-M.",
Fast SARS-CoV-2 detection by RT-qPCR in preheated nasopharyngeal swab samples,"Alcoba-Florez, J., Gonzalez-Montelongo, R., Inigo-Campos, A., Garcia-Martinez de Artola, D., Gil-Campesino, H., The Microbiology Technical Support Team, , Ciuffreda, L., Valenzuela-Fernandez, A., Flores, C.",
Classification of COVID-19 in intensive care patients: towards rational and effective clinical triage,"Lu, X., Wang, Y., Chen, T., Li, Y., Wang, J., Yan, F.",
Brief Analysis of the ARIMA model on the COVID-19 in Italy,"Ding, G., Li, X., Shen, Y., Fan, J.",
De novo design of high-affinity antibody variable regions (scFv) against the SARS-CoV-2 spike protein,"Boorla, V. S., Chowdhury, R., Maranas, C. D.",
Potential host range of multiple SARS-like coronaviruses and an improved ACE2-Fc variant that is potent against both SARS-CoV-2 and SARS-CoV-1,"Li, Y., Wang, H., Tang, X., Ma, D., Du, C., Wang, Y., Pan, H., Zou, Q., Zheng, J., Xu, L., Farzan, M., Zhong, G.",
A virus that has gone viral: Amino acid mutation in S protein of Indian isolate of Coronavirus COVID-19 might impact receptor binding and thus infectivity,"Saha, P., Banerjee, A. K., Tripathi, P. P., Srivastava, A. K., Ray, U.",
"Classical drug digitoxin inhibits influenza cytokine storm, with implications for COVID-19 therapy.","Pollard, H. B., Pollard, B. S., Pollard, J. R.",
"In-depth Bioinformatic Analyses of Human SARS-CoV-2, SARS-CoV, MERS-CoV, and Other Nidovirales Suggest Important Roles of Noncanonical Nucleic Acid Structures in Their Lifecycles","Bartas, M., Brazda, V., Bohalova, N., Cantara, A., Volna, A., Stachurova, T., Malachova, K., Jagelska, E. B., Porubiakova, O., Cerven, J., Pecinka, P.",
